Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
15/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
16/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
17/05/2021,145.11,4275014,144.44,145.8,144.33,1,1,0,1
18/05/2021,143.91,3824050,144.78,145.3,143.23,0,0,-1,0
19/05/2021,143.19,4300732,142.32,143.2,140.92,1,0,1,-1
20/05/2021,143.88,4112690,143.12,144.91,142.16,1,1,1,1
21/05/2021,144.74,4033482,144.28,145.699,144.28,1,1,0,1
22/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
23/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
24/05/2021,144.72,3297570,145.06,145.39,144.18,0,1,0,1
25/05/2021,143.79,3937323,144.92,145,143.2,0,0,-1,-1
26/05/2021,143.38,3083789,143.5,143.9894,143.04,0,0,0,-1
27/05/2021,143.82,5630345,143.82,144.77,143.63,0,1,0,0
28/05/2021,143.74,2534811,144.21,144.33,143.485,0,0,0,0
29/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
30/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
31/05/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
01/06/2021,144.19,2417455,145,145.83,143.75,0,1,-1,1
02/06/2021,145.72,2786916,144.62,145.75,144.11,1,1,1,0
03/06/2021,145.55,4130741,144.91,145.88,144.04,1,0,0,1
04/06/2021,147.42,3117905,146,147.55,145.76,1,1,1,1
05/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
06/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
07/06/2021,148.02,3462712,147.55,148.74,147.17,1,1,0,1
08/06/2021,149.07,5080099,148.12,150.2,148.12,1,1,1,1
09/06/2021,150.67,5303252,149.03,151.07,148.82,1,1,1,1
10/06/2021,150.54,4758488,151.47,152.84,149.76,0,0,-1,1
11/06/2021,151.28,3438255,150.43,151.845,150.37,1,1,1,0
12/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,-1
13/06/2021,133.61,4811004,133.1625,134.075,132.185,1,0,0,0
14/06/2021,150.03,3344845,150.71,151.03,148.655,0,1,0,1
15/06/2021,149.36,2513281,149.85,149.91,148.6,0,0,0,-1
16/06/2021,147.83,3879185,149.76,149.76,147.22,0,0,-1,-1
17/06/2021,145.6,4367387,147.55,148.06,145.28,0,0,-1,-1
18/06/2021,143.12,9156505,144.48,144.68,143.04,0,0,-1,-1
