Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
06/05/2021,249.73,26491090,246.45,249.86,244.69,1,1,1,0
07/05/2021,252.46,27032910,252.15,254.3,251.17,1,1,0,1
08/05/2021,255.75,25109805,256.0925,258.25,254.89,0,1,0,1
09/05/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
10/05/2021,247.18,29299890,250.87,251.73,247.12,0,0,-1,-1
11/05/2021,246.23,33641590,244.55,246.6,242.57,1,0,1,-1
12/05/2021,239,36684370,242.165,244.38,238.07,0,0,-1,-1
13/05/2021,243.03,29624300,241.8,245.6,241.42,1,1,1,0
14/05/2021,248.15,23901080,245.575,249.18,245.49,1,1,1,1
15/05/2021,255.75,25109805,256.0925,258.25,254.89,0,1,0,1
16/05/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
17/05/2021,245.18,24938180,246.55,246.59,243.52,0,0,-1,-1
18/05/2021,243.08,20167980,246.27,246.41,242.9,0,0,-1,-1
19/05/2021,243.12,25739810,239.31,243.23,238.6,1,1,1,-1
20/05/2021,246.48,21800720,243.96,247.95,243.86,1,1,1,1
21/05/2021,245.17,21863060,247.565,248.33,244.74,0,0,-1,0
22/05/2021,255.75,25109805,256.0925,258.25,254.89,0,1,0,1
23/05/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
24/05/2021,250.78,21411550,247.785,251.16,247.51,1,0,1,-1
25/05/2021,251.72,17704300,251.769,252.75,250.82,0,1,0,1
26/05/2021,251.49,17771600,251.43,252.94,250.75,1,0,0,0
27/05/2021,249.31,24426240,251.17,251.48,249.25,0,0,-1,-1
28/05/2021,249.68,18274940,250.995,252.08,249.56,0,1,-1,-1
29/05/2021,255.75,25109805,256.0925,258.25,254.89,0,1,0,1
30/05/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
31/05/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
01/06/2021,247.4,23213310,251.23,251.29,246.96,0,0,-1,-1
02/06/2021,247.3,19406710,248.125,249.27,245.84,0,0,0,-1
03/06/2021,245.71,25307710,245.22,246.34,243,1,0,0,-1
04/06/2021,250.79,25281090,247.76,251.65,247.51,1,1,1,1
05/06/2021,255.75,25109805,256.0925,258.25,254.89,0,1,0,1
06/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
07/06/2021,253.81,23079170,249.98,254.09,249.81,1,0,1,-1
08/06/2021,252.57,22455000,255.16,256.01,252.51,0,0,-1,1
09/06/2021,253.59,17937630,253.81,255.53,253.21,0,1,0,-1
10/06/2021,257.24,24563620,254.29,257.46,253.67,1,1,1,1
11/06/2021,257.89,18999730,257.985,258.4868,256.61,0,1,0,1
12/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
13/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
14/06/2021,259.89,19150510,257.9,259.95,256.8,1,1,1,1
15/06/2021,258.36,18038930,259.775,259.99,257.68,0,0,-1,0
16/06/2021,257.38,27219960,259.4,260.58,254.42,0,0,-1,-1
17/06/2021,260.9,27565540,256.065,261.75,256.01,1,1,1,1
18/06/2021,259.43,37202220,259.63,262.3,258.75,0,0,0,1
19/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
20/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
21/06/2021,262.63,26696120,259.82,263.52,257.92,1,1,1,1
22/06/2021,265.51,24694090,262.72,265.79,262.4,1,1,1,1
23/06/2021,265.275,19518680,265.99,266.83,264.43,0,0,0,1
24/06/2021,266.69,21446870,266.16,267.85,265.47,1,1,0,0
25/06/2021,265.02,25611110,266.23,267.25,264.76,0,0,0,0
26/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
27/06/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
28/06/2021,268.72,19590020,266.185,268.9,265.91,1,1,1,1
29/06/2021,271.4,19937810,268.865,271.65,267.98,1,1,1,1
30/06/2021,270.9,21656460,270.69,271.3598,269.6043,1,0,0,1
01/07/2021,271.6,16725320,269.61,271.84,269.6,1,1,1,0
02/07/2021,277.65,26474410,272.82,278,272.5,1,1,1,1
03/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
04/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
05/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
06/07/2021,277.66,31565560,278.03,279.3698,274.3,0,1,0,1
07/07/2021,279.93,23260030,279.4,280.6945,277.15,1,1,0,1
08/07/2021,277.42,24618590,276.9,278.73,274.87,1,0,0,-1
09/07/2021,277.94,23916670,275.72,278.05,275.32,1,1,1,0
10/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,-1
11/07/2021,255.75,25109805,256.0925,258.25,254.89,0,0,0,0
